Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,1788.02968351329,7732.263620349106,0.0,0.0,3.2669335000000004,102.13449775,493447.529412
DDOS_Slowloris,534.0,3344.6284631779026,7455.206084204965,0.0,0.22872449999999991,0.26211249999999997,1033.9553512500001,55097.589491
DOS_SYN_Hping,94659.0,444796.20653457753,368949.95224426093,0.0,199728.761905,246723.764706,838860.8,1048576.0
MQTT_Publish,4146.0,0.6547018195851423,12.239472792057072,0.0,0.161349,0.22169,0.32282175,572.44493
Metasploit_Brute_Force_SSH,37.0,97.64435424324324,408.7962296287237,0.0,5.684256,7.004034,9.386557,2336.65961
NMAP_FIN_SCAN,28.0,30.424360892857145,145.3670643462545,0.0,0.0,0.0,0.0,770.4452610000001
NMAP_OS_DETECTION,2000.0,211007.47275047147,198236.62349746385,20867.184080000003,139810.133333,167772.16,199728.761905,1048576.0
NMAP_TCP_scan,1002.0,416853.08416323655,300233.31753833924,500.912102,199728.761905,262144.0,524288.0,1048576.0
NMAP_UDP_SCAN,2590.0,1127.89616848417,5227.636294670154,0.0,0.0,0.0,0.0,44739.242667
NMAP_XMAS_TREE_SCAN,2010.0,174497.43556610198,166274.73824686298,0.0,123361.882353,144631.172414,167772.16,1048576.0
Thing_Speak,8108.0,41.412894484213126,178.87735669092757,0.0,9.00052475,11.2256765,62.130244499999996,10922.66667
Wipro_bulb,253.0,104.66361223320156,1053.8777942509316,0.0,0.439191,6.853977,16.088623000000002,16677.153082
